Strategy,Cost,Effect,Incremental Cost,Incremental Effect,ICER
Conservative treatment,"36,020 (35,927, 36,113)","4.69 (4.64, 4.73)",-,-,-
Intensive treatment,"42,636 (42,490, 42,783)","5.31 (5.26, 5.36)","6,616 (6,308, 6,925)","0.63 (0.51, 0.74)","10,578.88 (9,799.16, 11,547.33)"
